gene_orf	log2fc	abs_log2fc
YDL081C	-9.520829739612468	9.520829739612468
YOL109W	-9.355836514166409	9.355836514166409
YDR382W	-9.019818309921122	9.019818309921122
YDL130W	-8.736321817344674	8.736321817344674
YNL135C	-8.718335926684261	8.718335926684261
YDL136W	-8.653856915110609	8.653856915110609
YLR333C	-8.42803515191224	8.42803515191224
YNL162W	-8.306718793306299	8.306718793306299
YOR020C	-8.28392970817344	8.28392970817344
YMR230W	-8.094704372067746	8.094704372067746
YPL249C-A	-7.953524215562876	7.953524215562876
YGL030W	-7.919434741524368	7.919434741524368
YGR027C	-7.723082658782477	7.723082658782477
YOL039W	-7.653590651972825	7.653590651972825
YNL244C	-7.120242254436148	7.120242254436148
YBR009C	-6.949538172778475	6.949538172778475
YHR217C	-6.907686691235529	6.907686691235529
YHR141C	-6.76633703761689	6.76633703761689
YOR248W	-6.748124379688084	6.748124379688084
YLR068W	-6.741004157500933	6.741004157500933
YFL067W	-6.718622294252937	6.718622294252937
YNL030W	-6.584950284625635	6.584950284625635
YGR296C-A	-6.437837045290338	6.437837045290338
YPL283W-A	-6.437837045290338	6.437837045290338
YNL339W-A	-6.437837045290338	6.437837045290338
YML133W-A	-6.437837045290338	6.437837045290338
YER190C-A	-6.437837045290338	6.437837045290338
YKL202W	-6.379052819353768	6.379052819353768
YML058W	-6.299549624645591	6.299549624645591
YHR087W	-6.2248837819793	6.2248837819793
YCL035C	-6.171886917258143	6.171886917258143
YOR234C	-5.9993623513627155	5.9993623513627155
YBL028C	-5.967646869111265	5.967646869111265
YGL262W	-5.924736016652906	5.924736016652906
YEL003W	-5.909203868987653	5.909203868987653
YHL006W-A	-5.830040159257656	5.830040159257656
YLR406C	-5.804928938935969	5.804928938935969
YDL075W	-5.802962036657201	5.802962036657201
YFL014W	-5.754392724457616	5.754392724457616
YAL030W	-5.744325742302296	5.744325742302296
YDR544C	-5.720782392375829	5.720782392375829
YLR200W	-5.718172005252423	5.718172005252423
YML057C-A	-5.691945277247507	5.691945277247507
YJR048W	-5.60109321377799	5.60109321377799
YJR162C	-5.557774313765592	5.557774313765592
YDR079W	-5.52450754646361	5.52450754646361
YGR209C	-5.515933185506797	5.515933185506797
YGL226W	-5.495202415757484	5.495202415757484
