gene_orf	gene_symbol
-	SKP2
RP4-547C9.3	RPA2
RP6-239D12.2	DAB1
RP1-290I10.1	TFAP2A
RP1-85F18.1	EP300
RP11-326L24.1	RALGDS
DADB-70P7.5	PRRC2A
HLC3	SLC4A1AP
PIG30	CAPN1
RP11-88H12.2	MAGI1
OK/SW-CL.35	CTNNB1
RP11-174I10.1	RB1
RP5-824I19__A.1	MCM5
RP1-108C2.3	MCM3
RP11-165F24.7	DOCK8
RP1-224A6.5	CDC42
RP11-382A12.1	RBL1
TCAG7.703	IGFBP3
RP11-427L11.1	TXN
RP5-973N23.3	CCND3
ARG134	EIF3K
RP5-975D15.1	GADD45A
MDS017	LSM3
RP11-242O24.1	EPB41
RP3-511B24.2	PLCG1
RP11-505P4.2	EEF1A1
UNQ601	EEF1D
RP1-130E4.1	ESR1
OK/SW-CL.43	SUMO1
RP11-399O19.7	FAS
XX-FW83128A1.1	FLNA
RP11-479G22.2	ITGB1
HT004	GABARAP
DADB-159G18.9	DAXX
RP5-1039K5.11-004	PICK1
RP5-1160K1.2	GNAI3
LA16C-358B7.1	UBE2I
RP11-132G19.2	HSPG2
RP11-205M9.4	UBAP2L
DADB-70P7.10-021	BAG6
HSPC069	SETD2
HSPC294	ZDHHC17
HSPC136	HYPK
RP11-98G7.2	MEF2D
PIG46	KRT18
TCAG7.555	DNAJB6
RP11-54H19.1	LMNA
RP11-316M1.7	BNIPL
MY043	RTN4
RP11-553K8.4	PTPRC
RP11-67C2.3	ALOX5
CTA-216E10.7	XRCC6
CTA-833B7.1	NCF4
RP11-502N13.4	ATF7IP
RP3-486L4.1	ORC3
HCG_1732268	KMT2A
RP1-118J21.1	PPIE
RP11-63N8.1	RAP1GAP
RP11-82H13.1	PRKACB
RP11-234K24.1	EPB41L1
RP11-449I17.8	MAP3K8
RP5-1000E10.2	NRAS
RP4-769N13.1	GPRASP1
RP11-79D8.3	TLE4
RP4-533D7.2	PIK3R3
RP1-86F14.2	SELP
TCAG7.704	HUS1
RP4-730K3.1	MAGI3
RP11-172F4.4	HABP4
HLC7	GNB2L1
RP11-383C12.1	AR
RP11-181G12.1	PRKCZ
DADB-159G18.6	RGL2
OK/SW-CL.11	RAP1B
RP11-298P3.4	BRCA2
RP1-199H16.4	DMC1
HSPC277	AATF
RP4-583P15.1	ARFRP1
RP5-1139B12.1	OBSCN
RP11-101K10.1	NR5A1
AAG4	CLU
RP11-314N13.2	FKBP1A
RP11-96L7.1	TGFBR1
RP11-83J21.1	ABL1
RP5-823N20.1	SRC
RP11-356I2.3	TNFAIP3
PRO0105	TAX1BP1
RP11-572K18.1	DDR2
RP11-307C12.1	SHC1
RP13-228J13.4	VBP1
RP11-244N9.4	XPA
RP1-117P19.1	RPA4
RP4-659F15.2	USP11
RP11-540L11.1	CASK
RP11-356J7.2	ARHGEF11
PRO2292	MAGED1
HRIHFB2157	UBQLN2
RP11-65N13.1	RABEPK
RP11-59C5.2	CTBP2
RP13-1021K9.1	KLF8
LL0YNC03-56G10.1	PPP2R3B
RP11-345L8.1	SH3KBP1
GS1-19O24.1	DMD
RP11-357C3.4	ARHGEF9
JM26	PQBP1
RP11-115M6.7	F8
RP11-24J20.1	PHYH
RP5-1052M9.3	SH2D1A
RP11-528G1.4	SLAMF1
RP1-230G1.1	ARAF
RP11-810O3.1	HTR2C
RP11-382H24.1	MPDZ
OK/SW-CL.81	RAN
RP5-1049G16.3	NCOA3
RES4-26	RNF4
RP11-481A12.4	NCOA4
RP11-476E15.1	SORBS1
PRO0650	LBR
AC012180.8	MAPK8IP3
RP11-73M18.7	KLC1
RP5-857M17.3	BCL2L1
GIG3	FADD
RP1-191N21.3	TBP
TCAG7.1075	PTPN12
HCG_1778014	PXN
RP11-74C1.1	TUFT1
CTA-445C9.9	TFIP11
RP4-791M13.2	PDE4DIP
RP5-1013A22.1	HNF4A
MSTP030	RPL5
CGI-147	PTRH2
RP11-203D19.1	TLE1
RP5-890O3.5	DVL1
CGI-33	NFU1
RP5-905H16.1	PKN2
OK/SW-CL.22	PEX19
RP11-62C3.1	IARS
RP1-179N16.5	MAPK14
HCG_1980470	BCAR1
RP11-40A7.1	RAPGEF1
RP1-146H21.2	CSTF2
RP5-1167H4.1	CSTF1
PIG55	NCBP2
RP11-546O6.1	NCBP1
RP11-54H19.4	PMF1
RP3-434P1.2	KCNJ4
P/OKCL.14	HNRNPL
CTA-268H5.7	NUP50
RP1-134O19.1	SPEN
MSTP026	COPB1
RP3-472A9.1	MYO6
RP11-544M22.2	F11R
RP3-476K8.2	DHDDS
RP11-114F7.2	ABCC2
RP11-196G18.20-002	SF3B4
RP11-80B9.3	RGS7
PNAS-107	CACYBP
RP11-326F20.2	BAG1
RP11-336K24.8	UBQLN4
RP4-539E24.1	TFAP2C
RP11-126K1.1	PSMD4
RP11-131A5.1	RAD23B
RP11-316M1.1	SETDB1
RP11-55K22.6	PEX7
RP11-126K1.5	RFX5
DADB-100D22.6	RING1
MIG5	RAC1
PIG53	NEDD4
TCAG7.78	CFTR
RP3-402L9.2	IPCEF1
RP11-430G6.1	RGS4
RP11-395P17.5	GOLGA2
RP5-1024G6.4	MAGOH
HSPC114	RBM8A
RP4-547C9.1	PPP1R8
UNQ374/PRO710	CDC45
RP11-558F24.5	CLSTN1
RP1-319D22.1	CDC5L
RP1-21O18.1	KAZN
RP13-514E23.1	MAPK10
TCAG7.1300	TRIP6
GIG38	SAP18
RP11-496N12.7	ENAH
RP13-16H11.4	ABI1
RP1-49G10.1	NEDD9
HSPC075	SRRM2
RP11-494P5.1	ARHGEF7
RP4-650H14.2	TNFRSF25
RP11-234D19.2	BCL10
DC22	AP1S2
RP4-560B9.3	VAMP4
HUSSY-23	GPN1
RP5-1187M17.9	UBOX5
RP1-18D14.5	PDZK1IP1
UNQ6453/PRO34004	SLC22A12
RP11-391H12.1	CUL4A
