gene_orf	ethanol_phenotype	phenotype_details
Q0250	1	respiratory growth: absent
YAL001C	1	competitive fitness: decreased
YAL002W	1	respiratory growth: absent
YAL004W	1	competitive fitness: decreased
YAL005C	1	competitive fitness: decreased
YAL009W	1	chemical compound accumulation: increased
YAL010C	1	resistance to chemicals: decreased
YAL011W	1	competitive fitness: decreased
YAL012W	1	chemical compound accumulation: increased
YAL013W	1	competitive fitness: decreased
YAL014C	1	competitive fitness: increased
YAL015C	1	competitive fitness: decreased
YAL016W	1	resistance to chemicals: decreased
YAL020C	1	competitive fitness: decreased
YAL021C	1	competitive fitness: decreased
YAL022C	1	competitive fitness: increased
YAL023C	1	competitive fitness: decreased
YAL024C	1	resistance to chemicals: decreased
YAL026C	1	competitive fitness: decreased
YAL027W	1	resistance to chemicals: decreased
YAL035W	1	resistance to chemicals: decreased
YAL039C	1	competitive fitness: decreased
YAL040C	1	competitive fitness: increased
YAL042C-A	1	competitive fitness: increased
YAL042W	1	competitive fitness: increased
YAL044C	1	competitive fitness: decreased
YAL046C	1	competitive fitness: decreased
YAL047C	1	resistance to chemicals: decreased
YAL048C	1	competitive fitness: decreased
YAL049C	1	resistance to chemicals: decreased
YAL053W	1	competitive fitness: decreased
YAL054C	1	competitive fitness: decreased
YAL055W	1	competitive fitness: decreased
YAL056W	1	competitive fitness: increased
YAL059W	1	competitive fitness: decreased
YAL060W	1	competitive fitness: increased
YAL062W	1	vegetative growth: decreased rate
YAL064C-A	1	competitive fitness: increased
YAR002C-A	1	competitive fitness: increased
YAR002W	1	competitive fitness: decreased
YAR003W	1	competitive fitness: decreased
YAR014C	1	competitive fitness: decreased
YAR015W	1	competitive fitness: decreased
YAR029W	1	competitive fitness: decreased
YAR050W	1	resistance to chemicals: decreased
YBL002W	1	competitive fitness: increased
YBL005W	1	resistance to chemicals: increased
YBL006C	1	competitive fitness: decreased
YBL007C	1	competitive fitness: decreased
YBL008W	1	competitive fitness: decreased
YBL011W	1	competitive fitness: decreased
YBL019W	1	competitive fitness: increased
YBL021C	1	respiratory growth: decreased rate
YBL022C	1	competitive fitness: increased
YBL024W	1	competitive fitness: increased
YBL025W	1	resistance to chemicals: decreased
YBL027W	1	competitive fitness: decreased
YBL028C	1	competitive fitness: increased
YBL029W	1	competitive fitness: decreased
YBL030C	1	utilization of carbon source: decreased
YBL031W	1	resistance to chemicals: decreased
YBL032W	1	competitive fitness: increased
YBL033C	1	respiratory growth: decreased rate
YBL036C	1	chemical compound accumulation: increased
YBL037W	1	competitive fitness: increased
YBL038W	1	competitive fitness: decreased
YBL039C	1	competitive fitness: decreased
YBL042C	1	competitive fitness: decreased
YBL043W	1	competitive fitness: increased
YBL045C	1	competitive fitness: decreased
YBL046W	1	resistance to chemicals: decreased
YBL047C	1	competitive fitness: increased
YBL048W	1	competitive fitness: increased
YBL049W	1	competitive fitness: increased
YBL051C	1	competitive fitness: increased
YBL053W	1	resistance to chemicals: decreased
YBL054W	1	competitive fitness: increased
YBL058W	1	competitive fitness: decreased
YBL059W	1	competitive fitness: increased
YBL060W	1	competitive fitness: increased
YBL061C	1	competitive fitness: decreased
YBL062W	1	resistance to chemicals: decreased
YBL063W	1	competitive fitness: increased
YBL064C	1	competitive fitness: increased
YBL066C	1	chemical compound accumulation: decreased
YBL067C	1	resistance to chemicals: decreased
YBL068W	1	competitive fitness: decreased
YBL069W	1	competitive fitness: increased
YBL070C	1	competitive fitness: increased
YBL071C	1	competitive fitness: decreased
YBL072C	1	competitive fitness: decreased
YBL075C	1	competitive fitness: increased
YBL078C	1	respiratory growth: decreased rate
YBL079W	1	competitive fitness: decreased
YBL080C	1	respiratory growth: absent
YBL081W	1	competitive fitness: increased
YBL082C	1	competitive fitness: decreased
YBL083C	1	competitive fitness: decreased
YBL087C	1	competitive fitness: decreased
YBL088C	1	competitive fitness: increased
YBL089W	1	competitive fitness: decreased
YBL090W	1	competitive fitness: decreased
YBL092W	1	resistance to chemicals: increased
YBL093C	1	respiratory growth: decreased
YBL094C	1	competitive fitness: increased
YBL099W	1	resistance to chemicals: decreased
YBL100C	1	competitive fitness: decreased
YBL103C	1	resistance to chemicals: decreased
YBL104C	1	competitive fitness: decreased
YBL106C	1	competitive fitness: increased
YBR003W	1	resistance to chemicals: decreased
YBR006W	1	competitive fitness: increased
YBR008C	1	resistance to chemicals: decreased
YBR009C	1	competitive fitness: decreased
YBR010W	1	competitive fitness: decreased
YBR013C	1	competitive fitness: increased
YBR016W	1	competitive fitness: increased
YBR018C	1	competitive fitness: increased
YBR020W	1	competitive fitness: decreased
YBR021W	1	respiratory growth: absent
YBR025C	1	competitive fitness: decreased
YBR026C	1	resistance to chemicals: decreased
YBR029C	1	resistance to chemicals: decreased
YBR031W	1	respiratory growth: increased rate
YBR032W	1	competitive fitness: increased
YBR033W	1	competitive fitness: increased
YBR035C	1	competitive fitness: decreased
YBR036C	1	resistance to chemicals: decreased
YBR037C	1	competitive fitness: decreased
YBR041W	1	competitive fitness: decreased
YBR044C	1	competitive fitness: decreased
YBR048W	1	competitive fitness: decreased
YBR051W	1	competitive fitness: increased
YBR054W	1	competitive fitness: increased
YBR057C	1	competitive fitness: increased
YBR058C	1	competitive fitness: increased
YBR059C	1	competitive fitness: increased
YBR062C	1	protein/peptide accumulation: decreased
YBR065C	1	competitive fitness: decreased
YBR068C	1	resistance to chemicals: decreased
YBR069C	1	resistance to chemicals: decreased
YBR071W	1	competitive fitness: increased
YBR072W	1	resistance to chemicals: decreased
YBR077C	1	resistance to chemicals: decreased
YBR078W	1	resistance to chemicals: decreased
YBR079C	1	resistance to chemicals: decreased
YBR081C	1	chemical compound accumulation: decreased
YBR082C	1	resistance to chemicals: decreased
YBR083W	1	filamentous growth: absent
YBR084C-A	1	competitive fitness: decreased
YBR084W	1	competitive fitness: decreased
YBR085W	1	respiratory growth: normal
YBR095C	1	respiratory growth: decreased
YBR097W	1	resistance to chemicals: decreased
YBR098W	1	resistance to chemicals: decreased
YBR099C	1	competitive fitness: decreased
YBR101C	1	resistance to chemicals: decreased
YBR103W	1	competitive fitness: increased
YBR105C	1	resistance to chemicals: decreased
YBR106W	1	chemical compound accumulation: increased
YBR107C	1	competitive fitness: decreased
YBR112C	1	resistance to chemicals: increased
YBR113W	1	competitive fitness: decreased
YBR114W	1	resistance to chemicals: decreased
YBR115C	1	resistance to chemicals: decreased
YBR119W	1	competitive fitness: decreased
YBR120C	1	chemical compound accumulation: decreased
YBR123C	1	resistance to chemicals: decreased
YBR125C	1	competitive fitness: increased
YBR126C	1	respiratory growth: decreased
YBR127C	1	resistance to chemicals: decreased
YBR128C	1	resistance to chemicals: decreased
YBR131W	1	competitive fitness: decreased
YBR132C	1	resistance to chemicals: decreased
YBR133C	1	competitive fitness: decreased
YBR134W	1	resistance to chemicals: decreased
YBR141C	1	competitive fitness: increased
YBR144C	1	competitive fitness: increased
YBR145W	1	chemical compound accumulation: decreased
YBR148W	1	competitive fitness: increased
YBR152W	1	resistance to chemicals: decreased
YBR159W	1	competitive fitness: increased
YBR161W	1	competitive fitness: increased
YBR162W-A	1	competitive fitness: increased
YBR163W	1	competitive fitness: decreased
YBR164C	1	competitive fitness: decreased
YBR166C	1	resistance to chemicals: decreased
