gene_symbol,gene_orf,degree,abs_delta_cb,delta_cb_plus,delta_cb_minus,cb_baseline,cb_stress,abs_log2fc,ethanol_phenotype,cb_zscore,predicted_log_odds_contribution,weight_perm_pval,temporal_null_pval,rank_abs_delta_cb,rank_delta_cb_plus,rank_delta_cb_minus,mean_expr,var_expr
SMT3,YDR510W,98,0.07046936454407195,-0.07046936454407195,0.07046936454407195,0.006479653507901871,0.07694901805197382,0.0,0,35.84836945494477,-29.108243641438264,0.0196078431372549,1.0,1,5043,1,0.0,0.0
RPS27A,YKL156W,272,0.04012464819529145,-0.04012464819529145,0.04012464819529145,3.280355747868622e-05,0.040157451752770135,0.0,0,20.300827957356866,-16.483914200012684,0.0196078431372549,1.0,2,5042,2,0.0,0.0
PUF3,YLL013C,656,0.030331227112282477,0.030331227112282477,-0.030331227112282477,0.1753980789273985,0.14506685181511603,1.0090650459125603,0,15.283031154074058,-12.409551708386465,1.0,0.1568627450980392,3,1,5043,6.843415182904025,0.2648512230505363
DHH1,YDL160C,1139,0.02756798056313492,0.02756798056313492,-0.02756798056313492,0.26540852807354953,0.2378405475104146,0.6229113251202847,1,13.867242985315485,-11.259956689492077,0.803921568627451,1.0,4,2,5042,8.220348964916383,0.09968913775850335
RPL38,YLR325C,279,0.025848218523115658,-0.025848218523115658,0.025848218523115658,0.0001356792295978295,0.025983897752713488,0.0,0,12.986098756585514,-10.544483118919919,0.0196078431372549,1.0,5,5041,3,0.0,0.0
RPB10,YOR210W,142,0.02380539386554066,-0.02380539386554066,0.02380539386554066,0.00027355872323140724,0.02407895258877207,0.0,0,11.93942885956341,-9.69460562552458,0.0196078431372549,1.0,6,5040,4,0.0,0.0
SPT4,YGR063C,64,0.02204046816107915,-0.02204046816107915,0.02204046816107915,0.0005514778813727438,0.022591946042451894,0.0,1,11.03514439320432,-8.960342590185393,0.0196078431372549,1.0,7,5039,5,0.0,0.0
MPT5,YGL178W,356,0.02168756872760802,-0.02168756872760802,0.02168756872760802,0.049416339227162875,0.0711039079547709,0.8453795587796131,0,10.854331413333174,-8.81352564002428,0.058823529411764705,0.11764705882352941,8,5038,6,6.092852383188896,0.23623640719260225
GIS2,YNL255C,133,0.01938175626529128,-0.01938175626529128,0.01938175626529128,0.004579362560338558,0.023961118825629835,1.07080183374792,0,9.672916021886762,-7.854237182032116,0.0196078431372549,0.0196078431372549,9,5037,7,8.292656853425642,0.29601757773226367
MRPL39,YML009C,159,0.019167828252771715,-0.019167828252771715,0.019167828252771715,8.364301615640636e-05,0.019251471268928122,0.0,0,9.563307000865937,-7.765236590438024,0.0196078431372549,0.9803921568627451,10,5036,8,0.0,0.0
SBH1,YER087C-B,41,0.01794657144746413,-0.01794657144746413,0.01794657144746413,0.0022811611452754083,0.020227732592739536,0.0,0,8.937578928753165,-7.257156433564008,0.0196078431372549,1.0,11,5035,9,0.0,0.0
